20190101 183600;77.278000;77.282000;77.276000;77.277000;0
20190101 183700;77.276000;77.278000;77.274000;77.276000;0
20190101 183800;77.277000;77.278000;77.272000;77.272000;0
20190101 183900;77.272000;77.274000;77.269000;77.269000;0
20190101 184000;77.268000;77.271000;77.261000;77.268000;0
20190101 184100;77.267000;77.280000;77.267000;77.280000;0
20190101 184200;77.283000;77.308000;77.283000;77.308000;0
20190101 184300;77.307000;77.310000;77.301000;77.301000;0
20190101 184400;77.301000;77.325000;77.301000;77.324000;0
20190101 184500;77.322000;77.332000;77.322000;77.329000;0
20190101 184600;77.328000;77.329000;77.304000;77.308000;0
20190101 184700;77.309000;77.328000;77.308000;77.324000;0
20190101 184800;77.322000;77.322000;77.302000;77.302000;0
20190101 184900;77.302000;77.302000;77.286000;77.287000;0
20190101 185000;77.288000;77.307000;77.284000;77.306000;0
20190101 185100;77.306000;77.310000;77.298000;77.298000;0
20190101 185200;77.297000;77.297000;77.287000;77.288000;0
20190101 185300;77.288000;77.292000;77.284000;77.290000;0
20190101 185400;77.290000;77.299000;77.290000;77.298000;0
20190101 185500;77.298000;77.301000;77.296000;77.300000;0
20190101 185600;77.299000;77.309000;77.298000;77.305000;0
20190101 185700;77.305000;77.320000;77.305000;77.306000;0
20190101 185800;77.305000;77.305000;77.292000;77.296000;0
20190101 185900;77.298000;77.301000;77.298000;77.300000;0
20190101 190000;77.300000;77.305000;77.270000;77.270000;0
20190101 190100;77.270000;77.270000;77.249000;77.249000;0
20190101 190200;77.249000;77.261000;77.245000;77.259000;0
20190101 190300;77.259000;77.259000;77.248000;77.249000;0
20190101 190400;77.249000;77.249000;77.245000;77.245000;0
20190101 190500;77.244000;77.258000;77.171000;77.245000;0
20190101 190600;77.246000;77.266000;77.231000;77.237000;0
20190101 190700;77.238000;77.256000;77.237000;77.248000;0
20190101 190800;77.248000;77.258000;77.244000;77.254000;0
20190101 190900;77.254000;77.257000;77.251000;77.251000;0
20190101 191000;77.251000;77.253000;77.227000;77.233000;0
20190101 191100;77.233000;77.234000;77.223000;77.223000;0
20190101 191200;77.223000;77.223000;77.206000;77.210000;0
20190101 191300;77.211000;77.214000;77.203000;77.203000;0
20190101 191400;77.202000;77.203000;77.184000;77.197000;0
20190101 191500;77.197000;77.200000;77.182000;77.188000;0
20190101 191600;77.189000;77.208000;77.186000;77.208000;0
20190101 191700;77.208000;77.219000;77.199000;77.199000;0
20190101 191800;77.199000;77.211000;77.196000;77.198000;0
20190101 191900;77.200000;77.221000;77.200000;77.221000;0
20190101 192000;77.223000;77.226000;77.217000;77.218000;0
20190101 192100;77.218000;77.221000;77.212000;77.212000;0
20190101 192200;77.213000;77.215000;77.195000;77.195000;0
20190101 192300;77.195000;77.198000;77.190000;77.195000;0
20190101 192400;77.195000;77.196000;77.193000;77.193000;0
20190101 192500;77.193000;77.195000;77.181000;77.181000;0
20190101 192600;77.181000;77.193000;77.181000;77.186000;0
20190101 192700;77.187000;77.195000;77.187000;77.189000;0
20190101 192800;77.190000;77.193000;77.185000;77.188000;0
20190101 192900;77.188000;77.195000;77.158000;77.160000;0
20190101 193000;77.160000;77.180000;77.160000;77.165000;0
20190101 193100;77.166000;77.168000;77.152000;77.164000;0
20190101 193200;77.164000;77.168000;77.156000;77.160000;0
20190101 193300;77.159000;77.168000;77.153000;77.167000;0
20190101 193400;77.166000;77.167000;77.160000;77.162000;0
20190101 193500;77.163000;77.176000;77.163000;77.176000;0
20190101 193600;77.176000;77.188000;77.175000;77.188000;0
20190101 193700;77.188000;77.189000;77.182000;77.184000;0
20190101 193800;77.183000;77.185000;77.175000;77.175000;0
20190101 193900;77.175000;77.180000;77.171000;77.179000;0
20190101 194000;77.180000;77.189000;77.180000;77.189000;0
20190101 194100;77.189000;77.197000;77.189000;77.197000;0
20190101 194200;77.197000;77.223000;77.197000;77.220000;0
20190101 194300;77.219000;77.230000;77.214000;77.226000;0
20190101 194400;77.226000;77.228000;77.220000;77.221000;0
20190101 194500;77.221000;77.223000;77.210000;77.211000;0
20190101 194600;77.211000;77.214000;77.210000;77.212000;0
20190101 194700;77.212000;77.214000;77.169000;77.178000;0
20190101 194800;77.178000;77.196000;77.178000;77.195000;0
20190101 194900;77.196000;77.197000;77.193000;77.197000;0
20190101 195000;77.197000;77.199000;77.189000;77.197000;0
20190101 195100;77.196000;77.199000;77.191000;77.191000;0
20190101 195200;77.193000;77.193000;77.163000;77.165000;0
20190101 195300;77.166000;77.180000;77.166000;77.179000;0
20190101 195400;77.179000;77.179000;77.165000;77.166000;0
20190101 195500;77.167000;77.231000;77.167000;77.213000;0
20190101 195600;77.213000;77.218000;77.203000;77.206000;0
20190101 195700;77.206000;77.209000;77.203000;77.209000;0
20190101 195800;77.210000;77.212000;77.207000;77.208000;0
20190101 195900;77.207000;77.211000;77.188000;77.189000;0
20190101 200000;77.189000;77.189000;77.171000;77.176000;0
20190101 200100;77.176000;77.177000;77.151000;77.163000;0
20190101 200200;77.162000;77.183000;77.161000;77.177000;0
20190101 200300;77.177000;77.177000;77.156000;77.162000;0
20190101 200400;77.161000;77.161000;77.145000;77.145000;0
20190101 200500;77.145000;77.170000;77.145000;77.169000;0
20190101 200600;77.168000;77.183000;77.167000;77.181000;0
20190101 200700;77.182000;77.189000;77.180000;77.182000;0
20190101 200800;77.180000;77.206000;77.175000;77.205000;0
20190101 200900;77.205000;77.208000;77.199000;77.200000;0
20190101 201000;77.200000;77.203000;77.190000;77.194000;0
20190101 201100;77.194000;77.208000;77.194000;77.208000;0
20190101 201200;77.209000;77.218000;77.203000;77.215000;0
20190101 201300;77.216000;77.222000;77.213000;77.222000;0
20190101 201400;77.223000;77.223000;77.221000;77.221000;0
20190101 201500;77.222000;77.223000;77.209000;77.210000;0
20190101 201600;77.210000;77.221000;77.210000;77.221000;0
20190101 201700;77.220000;77.222000;77.210000;77.217000;0
20190101 201800;77.217000;77.243000;77.215000;77.236000;0
20190101 201900;77.235000;77.235000;77.219000;77.225000;0
20190101 202000;77.226000;77.227000;77.220000;77.223000;0
20190101 202100;77.224000;77.224000;77.219000;77.223000;0
20190101 202200;77.222000;77.249000;77.221000;77.247000;0
20190101 202300;77.247000;77.249000;77.236000;77.236000;0
20190101 202400;77.236000;77.239000;77.234000;77.238000;0
20190101 202500;77.237000;77.246000;77.237000;77.245000;0
20190101 202600;77.245000;77.249000;77.241000;77.249000;0
20190101 202700;77.249000;77.249000;77.237000;77.237000;0
20190101 202800;77.237000;77.237000;77.225000;77.225000;0
20190101 202900;77.225000;77.225000;77.210000;77.217000;0
20190101 203000;77.219000;77.228000;77.217000;77.222000;0
20190101 203100;77.223000;77.233000;77.222000;77.233000;0
20190101 203200;77.232000;77.232000;77.214000;77.214000;0
20190101 203300;77.214000;77.215000;77.192000;77.192000;0
20190101 203400;77.193000;77.194000;77.177000;77.186000;0
20190101 203500;77.186000;77.196000;77.186000;77.192000;0
20190101 203600;77.190000;77.223000;77.189000;77.194000;0
20190101 203700;77.196000;77.217000;77.196000;77.211000;0
20190101 203800;77.210000;77.215000;77.197000;77.202000;0
20190101 203900;77.200000;77.200000;77.171000;77.177000;0
20190101 204000;77.177000;77.205000;77.176000;77.205000;0
20190101 204100;77.205000;77.209000;77.168000;77.170000;0
20190101 204200;77.174000;77.187000;77.174000;77.185000;0
20190101 204300;77.184000;77.187000;77.157000;77.157000;0
20190101 204400;77.157000;77.157000;77.148000;77.148000;0
20190101 204500;77.149000;77.149000;77.123000;77.130000;0
20190101 204600;77.130000;77.141000;77.127000;77.129000;0
20190101 204700;77.129000;77.134000;77.086000;77.094000;0
20190101 204800;77.095000;77.102000;77.088000;77.102000;0
20190101 204900;77.101000;77.103000;77.076000;77.097000;0
20190101 205000;77.097000;77.097000;77.066000;77.072000;0
20190101 205100;77.072000;77.080000;77.058000;77.059000;0
20190101 205200;77.059000;77.068000;77.051000;77.051000;0
20190101 205300;77.050000;77.054000;77.044000;77.047000;0
20190101 205400;77.047000;77.047000;77.011000;77.020000;0
20190101 205500;77.018000;77.019000;76.974000;77.003000;0
20190101 205600;77.005000;77.036000;77.003000;77.027000;0
20190101 205700;77.029000;77.030000;77.009000;77.012000;0
20190101 205800;77.012000;77.016000;76.998000;77.000000;0
20190101 205900;77.000000;77.011000;76.995000;76.997000;0
20190101 210000;76.995000;76.997000;76.901000;76.901000;0
20190101 210100;76.903000;76.918000;76.882000;76.918000;0
20190101 210200;76.919000;76.945000;76.914000;76.924000;0
20190101 210300;76.924000;76.938000;76.908000;76.924000;0
20190101 210400;76.924000;76.924000;76.893000;76.893000;0
20190101 210500;76.893000;76.908000;76.893000;76.908000;0
20190101 210600;76.908000;76.921000;76.901000;76.916000;0
20190101 210700;76.916000;76.920000;76.905000;76.920000;0
20190101 210800;76.918000;76.940000;76.909000;76.938000;0
20190101 210900;76.937000;76.937000;76.918000;76.932000;0
20190101 211000;76.931000;76.951000;76.927000;76.951000;0
20190101 211100;76.950000;76.950000;76.910000;76.913000;0
20190101 211200;76.911000;76.914000;76.894000;76.899000;0
20190101 211300;76.899000;76.899000;76.864000;76.864000;0
20190101 211400;76.864000;76.865000;76.851000;76.862000;0
20190101 211500;76.862000;76.867000;76.853000;76.865000;0
20190101 211600;76.865000;76.873000;76.864000;76.867000;0
20190101 211700;76.868000;76.869000;76.858000;76.861000;0
20190101 211800;76.860000;76.863000;76.700000;76.704000;0
20190101 211900;76.706000;76.746000;76.685000;76.691000;0
20190101 212000;76.693000;76.722000;76.640000;76.640000;0
20190101 212100;76.641000;76.677000;76.627000;76.672000;0
20190101 212200;76.672000;76.727000;76.672000;76.712000;0
20190101 212300;76.712000;76.716000;76.655000;76.674000;0
20190101 212400;76.675000;76.690000;76.672000;76.686000;0
20190101 212500;76.686000;76.686000;76.631000;76.639000;0
20190101 212600;76.638000;76.681000;76.634000;76.681000;0
20190101 212700;76.681000;76.697000;76.677000;76.697000;0
20190101 212800;76.697000;76.718000;76.697000;76.718000;0
20190101 212900;76.718000;76.727000;76.712000;76.712000;0
20190101 213000;76.712000;76.712000;76.668000;76.668000;0
20190101 213100;76.669000;76.695000;76.665000;76.684000;0
20190101 213200;76.686000;76.692000;76.675000;76.675000;0
20190101 213300;76.675000;76.678000;76.658000;76.672000;0
20190101 213400;76.672000;76.672000;76.625000;76.635000;0
20190101 213500;76.635000;76.641000;76.613000;76.614000;0
20190101 213600;76.615000;76.615000;76.569000;76.572000;0
20190101 213700;76.571000;76.599000;76.570000;76.582000;0
20190101 213800;76.582000;76.583000;76.572000;76.579000;0
20190101 213900;76.579000;76.580000;76.557000;76.569000;0
20190101 214000;76.569000;76.633000;76.566000;76.631000;0
20190101 214100;76.631000;76.659000;76.631000;76.647000;0
20190101 214200;76.648000;76.653000;76.637000;76.652000;0
20190101 214300;76.654000;76.656000;76.642000;76.654000;0
20190101 214400;76.654000;76.700000;76.654000;76.690000;0
20190101 214500;76.690000;76.710000;76.686000;76.703000;0
20190101 214600;76.703000;76.705000;76.692000;76.694000;0
